Reading,Spelling,Comprehension,Mathematics,Remarks
42,58,20,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
70,72,58,69,['Child is very Inteligent']
54,60,81,69,['Child is very Inteligent']
48,40,36,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
34,54,35,54,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
36,25,45,47,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
36,36,45,42,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
88,82,50,88,['Child is inteligent but needs help from guidane also']
35,45,41,20,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
36,45,54,40,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time']"
52,76,56,80,['Child is very Inteligent']
41,38,47,29,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
44,40,43,47,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
42,30,50,68,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Child is inteligent but needs help from guidane also']"
54,86,40,80,"['Practice, the more  you read the better reader you become, do feed your mind']"
40,42,48,42,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
45,40,48,19,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
80,76,36,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,66,20,58,"['Practice, the more  you read the better reader you become, do feed your mind']"
38,76,40,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
22,66,78,66,"['Practice, the more  you read the better reader you become, do feed your mind']"
46,52,30,60,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
18,58,30,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
42,58,20,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
30,72,2,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,60,78,60,['Child is very Inteligent']
68,90,76,94,['Child is very Inteligent']
62,88,74,90,['Child is very Inteligent']
60,80,74,80,['Child is very Inteligent']
64,86,66,80,['Child is very Inteligent']
88,82,50,88,['Child is inteligent but needs help from guidane also']
80,86,72,80,['Child is very Inteligent']
66,72,72,76,['Child is very Inteligent']
52,76,56,80,['Child is very Inteligent']
72,76,64,60,['Child is very Inteligent']
44,72,70,82,"['Practice, the more  you read the better reader you become, do feed your mind']"
54,84,50,68,['Child is inteligent but needs help from guidane also']
54,86,40,80,"['Practice, the more  you read the better reader you become, do feed your mind']"
56,82,48,70,"['Practice, the more  you read the better reader you become, do feed your mind']"
54,64,48,84,"['Practice, the more  you read the better reader you become, do feed your mind']"
80,76,36,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,66,20,58,"['Practice, the more  you read the better reader you become, do feed your mind']"
38,76,40,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
22,66,38,66,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
46,52,30,60,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
18,58,30,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
42,58,20,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
30,72,2,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,60,15,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
68,90,76,94,['Child is very Inteligent']
40,39,50,36,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time', 'Child is inteligent but needs help from guidane also']"
30,50,47,48,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time', 'Child is inteligent but needs help from guidane also']"
64,86,66,80,['Child is very Inteligent']
88,82,50,88,['Child is inteligent but needs help from guidane also']
80,86,72,80,['Child is very Inteligent']
66,72,72,76,['Child is very Inteligent']
52,76,56,80,['Child is very Inteligent']
72,76,64,60,['Child is very Inteligent']
44,72,70,82,"['Practice, the more  you read the better reader you become, do feed your mind']"
34,36,40,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,86,40,80,"['Practice, the more  you read the better reader you become, do feed your mind']"
56,82,48,70,"['Practice, the more  you read the better reader you become, do feed your mind']"
45,25,48,35,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
45,52,36,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
45,25,20,58,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
38,76,40,36,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
74,66,70,60,['Child is very Inteligent']
74,52,50,60,['Child is inteligent but needs help from guidane also']
74,58,56,70,['Child is very Inteligent']
75,58,75,58,['Child is very Inteligent']
75,72,58,58,['Child is very Inteligent']
54,60,15,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
44,30,35,42,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
44,35,45,36,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
60,80,74,80,['Child is very Inteligent']
25,36,45,40,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
88,82,50,88,['Child is inteligent but needs help from guidane also']
80,86,72,80,['Child is very Inteligent']
66,72,72,76,['Child is very Inteligent']
45,36,41,25,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
36,42,30,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
65,72,70,82,['Child is very Inteligent']
54,84,50,68,['Child is inteligent but needs help from guidane also']
45,36,40,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
45,47,48,50,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Child is inteligent but needs help from guidane also']"
42,41,48,42,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
80,76,36,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,66,89,58,['Child is very Inteligent']
38,25,40,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
22,66,38,66,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
46,52,58,60,"['Practice, the more  you read the better reader you become, do feed your mind']"
35,39,38,25,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
42,58,20,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
30,72,2,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,60,70,60,['Child is very Inteligent']
48,35,47,60,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
37,40,42,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
60,80,74,80,['Child is very Inteligent']
64,86,66,80,['Child is very Inteligent']
88,82,50,88,['Child is inteligent but needs help from guidane also']
80,86,72,80,['Child is very Inteligent']
66,72,72,76,['Child is very Inteligent']
52,76,56,80,['Child is very Inteligent']
72,76,64,60,['Child is very Inteligent']
44,72,70,82,"['Practice, the more  you read the better reader you become, do feed your mind']"
54,84,50,68,['Child is inteligent but needs help from guidane also']
45,42,40,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
56,49,48,30,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,64,48,84,"['Practice, the more  you read the better reader you become, do feed your mind']"
80,76,36,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,66,85,58,['Child is very Inteligent']
38,25,40,36,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
80,66,55,66,['Child is very Inteligent']
70,52,80,60,['Child is very Inteligent']
18,58,30,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
42,58,20,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
30,72,2,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,60,15,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
68,90,76,94,['Child is very Inteligent']
62,88,74,90,['Child is very Inteligent']
60,80,74,80,['Child is very Inteligent']
64,86,66,80,['Child is very Inteligent']
88,82,50,88,['Child is inteligent but needs help from guidane also']
24,45,36,25,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
25,48,41,38,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
37,36,42,40,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
72,76,64,60,['Child is very Inteligent']
44,40,36,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,84,50,68,['Child is inteligent but needs help from guidane also']
54,86,40,80,"['Practice, the more  you read the better reader you become, do feed your mind']"
56,82,48,70,"['Practice, the more  you read the better reader you become, do feed your mind']"
54,37,48,25,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
36,45,36,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,66,20,58,"['Practice, the more  you read the better reader you become, do feed your mind']"
38,76,40,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
22,66,38,66,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
82,52,75,60,['Child is very Inteligent']
18,58,30,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
68,58,72,50,['Child is inteligent but needs help from guidane also']
60,72,78,80,['Child is very Inteligent']
54,60,88,67,['Child is very Inteligent']
68,90,76,94,['Child is very Inteligent']
41,35,45,50,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Child is inteligent but needs help from guidane also']"
45,35,56,35,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time']"
64,86,66,80,['Child is very Inteligent']
88,82,50,88,['Child is inteligent but needs help from guidane also']
80,86,72,80,['Child is very Inteligent']
66,72,72,76,['Child is very Inteligent']
52,76,56,80,['Child is very Inteligent']
72,76,64,60,['Child is very Inteligent']
44,72,70,82,"['Practice, the more  you read the better reader you become, do feed your mind']"
54,84,50,68,['Child is inteligent but needs help from guidane also']
54,86,40,80,"['Practice, the more  you read the better reader you become, do feed your mind']"
56,82,48,70,"['Practice, the more  you read the better reader you become, do feed your mind']"
36,45,48,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
80,76,36,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,66,20,58,"['Practice, the more  you read the better reader you become, do feed your mind']"
38,76,40,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
22,66,38,66,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
75,52,80,60,['Child is very Inteligent']
18,58,30,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
74,58,78,58,['Child is very Inteligent']
30,72,2,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
34,60,15,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
39,36,42,44,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
62,88,74,90,['Child is very Inteligent']
40,48,45,51,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
64,86,66,80,['Child is very Inteligent']
88,82,50,88,['Child is inteligent but needs help from guidane also']
80,86,72,80,['Child is very Inteligent']
66,72,72,76,['Child is very Inteligent']
52,76,56,80,['Child is very Inteligent']
36,45,25,40,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
44,72,70,82,"['Practice, the more  you read the better reader you become, do feed your mind']"
36,45,38,39,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
75,86,65,80,['Child is very Inteligent']
56,82,48,70,"['Practice, the more  you read the better reader you become, do feed your mind']"
54,41,56,45,"['Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time']"
80,76,75,55,['Child is very Inteligent']
54,66,60,58,['Child is very Inteligent']
38,76,40,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
22,66,38,66,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
46,52,30,60,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
18,58,30,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
42,58,20,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
30,72,2,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,60,15,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
68,90,76,94,['Child is very Inteligent']
62,88,74,90,['Child is very Inteligent']
60,80,74,80,['Child is very Inteligent']
36,40,66,41,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time']"
38,47,41,36,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
36,45,43,9,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
42,42,36,47,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
69,41,46,38,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
39,42,38,30,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
45,38,40,40,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
45,25,40,47,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
47,40,51,48,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time']"
45,54,30,35,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
47,40,36,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,66,20,58,"['Practice, the more  you read the better reader you become, do feed your mind']"
38,76,40,38,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
56,66,75,66,['Child is very Inteligent']
46,52,30,60,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
18,58,60,70,"['Practice, the more  you read the better reader you become, do feed your mind']"
42,58,20,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
71,72,57,65,['Child is very Inteligent']
36,27,15,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
68,90,76,94,['Child is very Inteligent']
62,88,74,90,['Child is very Inteligent']
36,52,31,29,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
50,37,66,40,"['Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time', 'Child is inteligent but needs help from guidane also']"
38,48,50,37,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time', 'Child is inteligent but needs help from guidane also']"
47,36,38,50,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Child is inteligent but needs help from guidane also']"
66,72,72,76,['Child is very Inteligent']
52,76,56,80,['Child is very Inteligent']
35,45,37,40,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
44,72,70,82,"['Practice, the more  you read the better reader you become, do feed your mind']"
44,45,46,42,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
47,57,40,35,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
56,82,48,70,"['Practice, the more  you read the better reader you become, do feed your mind']"
54,64,48,84,"['Practice, the more  you read the better reader you become, do feed your mind']"
47,36,36,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
75,66,78,58,['Child is very Inteligent']
38,36,40,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
75,66,56,66,['Child is very Inteligent']
78,58,56,70,['Child is very Inteligent']
42,58,20,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
30,72,2,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,60,15,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
48,37,44,35,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
62,88,74,90,['Child is very Inteligent']
60,80,74,80,['Child is very Inteligent']
64,86,66,80,['Child is very Inteligent']
88,82,50,88,['Child is inteligent but needs help from guidane also']
80,86,72,80,['Child is very Inteligent']
40,41,44,36,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
39,45,38,40,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
72,76,64,60,['Child is very Inteligent']
44,72,70,82,"['Practice, the more  you read the better reader you become, do feed your mind']"
54,25,50,38,"['Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time', 'Child is inteligent but needs help from guidane also']"
33,37,40,41,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
56,44,48,35,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
85,68,74,60,['Child is very Inteligent']
80,76,36,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,66,78,58,['Child is very Inteligent']
38,76,40,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
78,66,58,66,['Child is very Inteligent']
46,52,30,60,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
18,58,30,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
74,58,58,78,['Child is very Inteligent']
80,72,75,68,['Child is very Inteligent']
54,60,75,60,['Child is very Inteligent']
45,30,25,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
33,23,50,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time', 'Child is inteligent but needs help from guidane also']"
